2024-08-19T20:38:38.008996 [ENB    ] [I] Using binary /usr/local/bin/srsenb with arguments: 
2024-08-19T20:38:38.058475 [ENB    ] [I] Built in Release mode using commit ec29b0c1f on branch HEAD.
2024-08-19T20:44:21.877835 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:44:40.549143 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:44:40.549238 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:44:40.549263 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:44:50.550818 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:44:50.550823 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:44:50.550824 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:44:50.550833 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:45:09.221152 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:45:09.221238 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:45:09.221250 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:45:19.220921 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:45:19.220925 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:45:19.220926 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:45:19.220935 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:45:37.893179 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:45:37.893282 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:45:37.893296 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:45:47.893130 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:45:47.893135 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:45:47.893136 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:45:47.893146 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:46:06.564135 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:46:06.564205 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:46:06.564217 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:46:16.563213 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:46:16.563219 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:46:16.563221 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:46:16.563233 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:46:35.236134 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:46:35.236230 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:46:35.236240 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:46:45.235613 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:46:45.235617 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:46:45.235619 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:46:45.235629 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:47:03.909131 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:47:03.909173 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:47:03.909182 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:47:13.909059 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:47:13.909064 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:47:13.909070 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:47:13.909081 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:47:32.580140 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:47:32.580197 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:47:32.580209 [COMN   ] [D] [    0] Socket=7 was closed.
